# zrecast — the names that are answered, and how.
#
# SYMBOL<TAB>VERDICT<TAB>EVIDENCE, one line per public Recast/Detour name that
# is not a gap. This is the only hand-maintained half of the coverage record:
# tools/record.sh joins it with the upstream harvest and tools/tranches.awk to
# write tools/unbound_*.txt, and ci/check-coverage.sh then checks every line of
# it against the tree.
#
# Binding a name is one line appended here. The verdicts:
#
#   BOUND      a zrecast entry point a host can call to get the capability
#   EXTENSION  zrecast offers it in a shape upstream does not have
#   LANGUAGE   Zig spells it directly; the evidence names the facility
#   ZIG        src/FILE.zig:decl implements it
#   INTERNAL   upstream marks it internal; tools/classify.sh must agree
#
# Evidence is prose that has to survive a check: BOUND and EXTENSION name a
# symbol ffi/*.h declares, LANGUAGE names a facility from a closed list, ZIG
# names a declaration that exists, and INTERNAL must match what classify.sh
# computes. Sorted by symbol.
const:-::DT_ALREADY_OCCUPIED	BOUND	ZRC_ERR_TILE_OCCUPIED - zrcNavMeshAddTile checks the slot itself so the condition has its own result rather than a generic failure
const:-::DT_BUFFER_TOO_SMALL	BOUND	ZRC_ERR_BUFFER_TOO_SMALL maps this detail bit in zrc::ResultFromStatus, and it also drives the out_partial/out_truncated flags on success
const:-::DT_CROWDAGENT_MAX_CORNERS	BOUND	ZRC_CROWD_MAX_CORNERS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_CROWDAGENT_MAX_NEIGHBOURS	BOUND	ZRC_CROWD_MAX_NEIGHBOURS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_CROWD_MAX_OBSTAVOIDANCE_PARAMS	BOUND	ZRC_CROWD_MAX_AVOIDANCE_PARAMS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_CROWD_MAX_QUERY_FILTER_TYPE	BOUND	ZRC_CROWD_MAX_FILTERS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_EXT_LINK	BOUND	ZRC_EXT_LINK mirrors the bit exactly; it is how a ZrcPolyInfo.neis entry says the edge crosses into another tile
const:-::DT_FAILURE	BOUND	ZRC_ERR_QUERY_FAILED is the generic-failure fallback zrc::ResultFromStatus returns once dtStatusFailed(status) is true and no detail bit matches
const:-::DT_INVALID_PARAM	BOUND	ZRC_ERR_INVALID_ARGUMENT is returned by zrc::ResultFromStatus when this detail bit is set
const:-::DT_IN_PROGRESS	BOUND	zrcSlicedFindPathUpdate's out_in_progress is this bit, tested rather than surfaced raw
const:-::DT_MAX_AREAS	BOUND	ZRC_MAX_AREAS mirrors this exactly (static_assert in zrecast_abi.cpp)
const:-::DT_MAX_PATTERN_DIVS	BOUND	ZRC_AVOIDANCE_MAX_PATTERN_DIVS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_MAX_PATTERN_RINGS	BOUND	ZRC_AVOIDANCE_MAX_PATTERN_RINGS, pinned to it by a static_assert in ffi/zrecast_abi.cpp
const:-::DT_MAX_STATES_PER_NODE	BOUND	ZRC_MAX_NODE_STATES mirrors it exactly, and bounds zrcQueryFindNodes
